Priority;Hard to Reach Access Methods;Shelter Cluster Hub;Last Update;District HLCIT  Code;VDC / Municipality HLCIT  Code;Implementing agency;Sourcing Agency;Local partner agency;District;VDC / Municipalities;Municipal Ward;Action type;Action description;Targeting;# Items / # Man-hours / NPR;Total Number Households;Average cost per households (NPR);Female headed households;Vulnerable Caste / Ethnicity households ;Activity Status;Start date;Completion Date;Additional Comments
Priority;Truck access;West;25/05/2015;524 2 05 30;524 2 05 30 5 046;AAR Japan;;;Dhading;Tasarpu;Unknown;Shelter;Tarpaulin;All / Blanket;1299;1299;2103;;;Completed;16/05/2015;22/05/2015;
Priority;Truck access;West;25/05/2015;524 2 05 30;524 2 05 30 5 046;AAR Japan;;;Dhading;Tasarpu;Unknown;NFI;Blankets;All / Blanket;2598;1299;920;;;Completed;16/05/2015;22/05/2015;
Priority;;Central;25/05/2015;524 2 05 28;524 2 05 28 5 028;ACF;;;Nuwakot;Chaughoda;Unknown;NFI;Household kits (excluding tarpaulins);All / Blanket;600;600;;;;Ongoing / In Country Stock;01/06/2015;;Number of distributed kits can vary according to real population data
Priority;;Central;03/08/2015;524 2 05 28;524 2 05 28 5 028;ACF;;;Nuwakot;Chaughoda;Unknown;Shelter;Tarpaulin;All / Blanket;600;600;;;;Ongoing / In Country Stock;01/06/2015;;Number of distributed kits can vary according to real population data
Priority;Truck access;Central;03/08/2015;524 2 05 29;524 2 05 29 5 002;ACF;;;Rasuwa;Dhunche;Unknown;NFI;Household kits (excluding tarpaulins);All / Blanket;600;600;;;;Ongoing / In Country Stock;29/05/2015;;Number of distributed kits can vary according to real population data
Priority;Truck access;Central;03/08/2015;524 2 05 29;524 2 05 29 5 002;ACF;;;Rasuwa;Dhunche;Unknown;Shelter;Tarpaulin;All / Blanket;600;600;;;;Ongoing / In Country Stock;29/05/2015;;Number of distributed kits can vary according to real population data
Priority;Truck access;Central;03/08/2015;524 2 05 29;524 2 05 29 5 008;ACF;;;Rasuwa;Ramche;Unknown;NFI;Household kits (excluding tarpaulins);All / Blanket;600;600;;;;Ongoing / In Country Stock;27/05/2015;;Number of distributed kits can vary according to real population data
Priority;Truck access;Central;03/08/2015;524 2 05 29;524 2 05 29 5 008;ACF;;;Rasuwa;Ramche;Unknown;Shelter;Tarpaulin;All / Blanket;600;600;;;;Ongoing / In Country Stock;27/05/2015;;Number of distributed kits can vary according to real population data
Priority;4x4/Pickup access;Central;03/08/2015;524 2 05 28;524 2 05 28 5 013;ACF;;;Nuwakot;Suryamati;Unknown;Shelter;Tarpaulin;All / Blanket;600;600;;;;Ongoing / In Country Stock;03/06/2015;;Number of distributed kits can vary according to real population data
Priority;4x4/Pickup access;Central;03/08/2015;524 2 05 28;524 2 05 28 5 013;ACF;;;Nuwakot;Suryamati;Unknown;Shelter;Tool Kits;All / Blanket;600;600;;;;Ongoing / In Country Stock;03/06/2015;;Number of distributed kits can vary according to real population data
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 011;ACTED;IOM-USAID;;Dhading;Gumdi;Unknown;Shelter;Tarpaulin;All / Blanket;300;300;2200;;;Completed;20/05/2015;20/05/2015;
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 002;ACTED;IOM-USAID;;Dhading;Katunje;Unknown;Shelter;Tarpaulin;All / Blanket;250;250;2200;;;Completed;19/05/2015;19/05/2015;
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 017;ACTED;Shelterbox;;Dhading;Lapa;Unknown;Shelter;Tarpaulin;All / Blanket;864;864;2200;;;Completed;17/05/2015;17/05/2015;
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 017;ACTED;Shelterbox;;Dhading;Lapa;Unknown;Shelter;CGI Bundle (72ft/bundle);All / Blanket;2736;1368;15400;;;Ongoing / In Country Stock;17/09/2015;;2 bundles/HH
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 003;ACTED;IOM-USAID;;Dhading;Marpak;Unknown;Shelter;Tarpaulin;All / Blanket;300;300;2200;;;Completed;20/05/2015;20/05/2015;
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 003;ACTED;Internal;;Dhading;Marpak;Unknown;Shelter;Tool Kits;All / Blanket;1047;1047;2806;;;Completed;03/09/2015;04/09/2015;
Priority;4x4/Pickup access;West;26/09/2015;524 2 05 30;524 2 05 30 5 003;ACTED;Internal;;Dhading;Marpak;Unknown;NFI;Blankets;All / Blanket;2120;1060;9660;;;Completed;03/09/2015;04/09/2015;
Priority;;West;26/09/2015;524 2 05 30;524 2 05 30 5 019;ACTED;IOM-USAID;;Dhading;Semdhung;Unknown;Shelter;Tarpaulin;All / Blanket;650;650;2200;;;Completed;19/05/2015;19/05/2015;
Priority;No road access - possibly no helicopter landing sites;West;26/09/2015;524 2 05 30;524 2 05 30 5 005;ACTED;Internal;;Dhading;Sertung;Unknown;Shelter;Tarpaulin;All / Blanket;75;75;2200;;;Completed;11/05/2015;11/05/2015;
