District,Caste_ethnicity,Gender,Q1.i,Count,Tag
bhaktapur,brahmin,female,long_term_shelter__housing,7,housing
bhaktapur,brahmin,female,short_term_shelter__tent_shelt,2,housing
bhaktapur,brahmin,female,clean_water,1,water
bhaktapur,brahmin,female,other,0,
bhaktapur,brahmin,female,livelihoods,0,
bhaktapur,brahmin,female,financial_support,0,financial
bhaktapur,brahmin,female,food,0,food
bhaktapur,brahmin,female,housing_inspections,0,housing
bhaktapur,brahmin,female,toilets_sanitation,0,health
bhaktapur,brahmin,female,psychosocial_counseling,0,health
bhaktapur,brahmin,female,healthcare,0,health
bhaktapur,brahmin,female,education,0,education
bhaktapur,brahmin,female,seeds_and_fertilizers,0,food
bhaktapur,brahmin,male,long_term_shelter__housing,3,housing
bhaktapur,brahmin,male,short_term_shelter__tent_shelt,2,housing
bhaktapur,brahmin,male,financial_support,1,financial
bhaktapur,brahmin,male,healthcare,1,health
bhaktapur,brahmin,male,other,0,
bhaktapur,brahmin,male,livelihoods,0,
bhaktapur,brahmin,male,clean_water,0,water
bhaktapur,brahmin,male,food,0,food
bhaktapur,brahmin,male,housing_inspections,0,housing
bhaktapur,brahmin,male,toilets_sanitation,0,health
bhaktapur,brahmin,male,psychosocial_counseling,0,health
bhaktapur,brahmin,male,education,0,education
bhaktapur,brahmin,male,seeds_and_fertilizers,0,food
bhaktapur,chhetri,female,long_term_shelter__housing,5,housing
bhaktapur,chhetri,female,financial_support,3,financial
bhaktapur,chhetri,female,toilets_sanitation,1,health
bhaktapur,chhetri,female,healthcare,1,health
bhaktapur,chhetri,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,chhetri,female,other,0,
bhaktapur,chhetri,female,livelihoods,0,
bhaktapur,chhetri,female,clean_water,0,water
bhaktapur,chhetri,female,food,0,food
bhaktapur,chhetri,female,housing_inspections,0,housing
bhaktapur,chhetri,female,psychosocial_counseling,0,health
bhaktapur,chhetri,female,education,0,education
bhaktapur,chhetri,female,seeds_and_fertilizers,0,food
bhaktapur,chhetri,male,long_term_shelter__housing,13,housing
bhaktapur,chhetri,male,short_term_shelter__tent_shelt,6,housing
bhaktapur,chhetri,male,other,0,
bhaktapur,chhetri,male,livelihoods,0,
bhaktapur,chhetri,male,clean_water,0,water
bhaktapur,chhetri,male,financial_support,0,financial
bhaktapur,chhetri,male,food,0,food
bhaktapur,chhetri,male,housing_inspections,0,housing
bhaktapur,chhetri,male,toilets_sanitation,0,health
bhaktapur,chhetri,male,psychosocial_counseling,0,health
bhaktapur,chhetri,male,healthcare,0,health
bhaktapur,chhetri,male,education,0,education
bhaktapur,chhetri,male,seeds_and_fertilizers,0,food
bhaktapur,dalit,female,long_term_shelter__housing,1,housing
bhaktapur,dalit,female,short_term_shelter__tent_shelt,0,housing
bhaktapur,dalit,female,other,0,
bhaktapur,dalit,female,livelihoods,0,
bhaktapur,dalit,female,clean_water,0,water
bhaktapur,dalit,female,financial_support,0,financial
bhaktapur,dalit,female,food,0,food
bhaktapur,dalit,female,housing_inspections,0,housing
bhaktapur,dalit,female,toilets_sanitation,0,health
