"","DIST_ID","ZONE","DISTRICT","variable","value"
"1",1,"Mechi","Taplejung","Total.Household",26509
"2",2,"Mechi","Panchthar","Total.Household",41196
"3",3,"Mechi","Ilam","Total.Household",64502
"4",4,"Mechi","Jhapa","Total.Household",184552
"5",5,"Koshi","Morang","Total.Household",213997
"6",6,"Koshi","Sunsari","Total.Household",162407
"7",7,"Koshi","Dhankuta","Total.Household",37637
"8",8,"Koshi","Terhathum","Total.Household",22094
"9",9,"Koshi","Sankhuwasabha","Total.Household",34624
"10",10,"Koshi","Bhojpur","Total.Household",39419
"11",11,"Sagarmatha","Solukhumbu","Total.Household",23785
"12",13,"Sagarmatha","Khotang","Total.Household",42664
"13",12,"Sagarmatha","Okhaldhunga","Total.Household",32502
"14",14,"Sagarmatha","Udayapur","Total.Household",66557
"15",15,"Sagarmatha","Saptari","Total.Household",121098
"16",16,"Sagarmatha","Siraha","Total.Household",177962
"17",17,"Janakpur","Dhanusha","Total.Household",138249
"18",18,"Janakpur","Mahottari","Total.Household",111316
"19",19,"Janakpur","Sarlahi","Total.Household",132844
"20",20,"Janakpur","Sindhuli","Total.Household",57581
"21",21,"Janakpur","Ramechhap","Total.Household",43910
"22",22,"Janakpur","Dolakha","Total.Household",45688
"23",23,"Bagmati","Sindhupalchok","Total.Household",66688
"24",24,"Bagmati","Kabhrepalanchok","Total.Household",80720
"25",25,"Bagmati","Lalitpur","Total.Household",109797
"26",26,"Bagmati","Bhaktapur","Total.Household",68636
"27",27,"Bagmati","Kathmandu","Total.Household",436344
"28",28,"Bagmati","Nuwakot","Total.Household",59215
"29",29,"Bagmati","Rasuwa","Total.Household",9778
"30",30,"Bagmati","Dhading","Total.Household",73851
"31",31,"Narayani","Makawanpur","Total.Household",86127
"32",32,"Narayani","Rautahat","Total.Household",106668
"33",33,"Narayani","Bara","Total.Household",108635
"34",34,"Narayani","Parsa","Total.Household",95536
"35",35,"Narayani","Chitawan","Total.Household",132462
"36",36,"Gandaki","Gorkha","Total.Household",66506
"37",37,"Gandaki","Lamjung","Total.Household",42079
"38",41,"Gandaki","Manang","Total.Household",1400
"39",40,"Gandaki","Kaski","Total.Household",125673
"40",38,"Gandaki","Tanahu","Total.Household",78309
"41",39,"Gandaki","Syangja","Total.Household",68881
"42",44,"Dhawalagiri","Parbat","Total.Household",35719
"43",45,"Dhawalagiri","Baglung","Total.Household",61522
"44",43,"Dhawalagiri","Myagdi","Total.Household",27762
"45",42,"Dhawalagiri","Mustang","Total.Household",3354
"46",47,"Lumbini","Palpa","Total.Household",128793
"47",48,"Lumbini","Nawalparasi","Total.Household",128793
"48",49,"Lumbini","Rupandehi","Total.Household",163916
"49",50,"Lumbini","Kapilbastu","Total.Household",91321
"50",51,"Lumbini","Arghakhanchi","Total.Household",46835
"51",46,"Lumbini","Gulmi","Total.Household",64921
"52",54,"Rapti","Rukum","Total.Household",19303
"53",55,"Rapti","Salyan","Total.Household",47730
"54",53,"Rapti","Rolpa","Total.Household",23013
"55",52,"Rapti","Pyuthan","Total.Household",7488
"56",56,"Rapti","Dang","Total.Household",9619
"57",57,"Bheri","Banke","Total.Household",94773
"58",58,"Bheri","Bardiya","Total.Household",73176
"59",59,"Bheri","Surkhet","Total.Household",72863
"60",61,"Bheri","Jajarkot","Total.Household",30472
"61",60,"Bheri","Dailekh","Total.Household",48919
"62",62,"Karnali","Dolpa","Total.Household",41856
"63",63,"Karnali","Jumla","Total.Household",9479
"64",64,"Karnali","Kalikot","Total.Household",116415
"65",65,"Karnali","Mugu","Total.Household",43757
"66",66,"Karnali","Humla","Total.Household",46558
"67",68,"Seti","Bajhang","Total.Household",33786
"68",67,"Seti","Bajura","Total.Household",24908
"69",69,"Seti","Achham","Total.Household",48351
"70",70,"Seti","Doti","Total.Household",41440
"71",71,"Seti","Kailali","Total.Household",142480
"72",72,"Mahakali","Kanchanpur","Total.Household",82152
"73",73,"Mahakali","Dadeldhura","Total.Household",27045
"74",74,"Mahakali","Baitadi","Total.Household",45191
"75",75,"Mahakali","Darchula","Total.Household",24618
"76",NA,"","","Total.Household",NA
"77",1,"Mechi","Taplejung","Total.Population",127461
"78",2,"Mechi","Panchthar","Total.Population",191817
"79",3,"Mechi","Ilam","Total.Population",290254
"80",4,"Mechi","Jhapa","Total.Population",812650
"81",5,"Koshi","Morang","Total.Population",965370
"82",6,"Koshi","Sunsari","Total.Population",763487
"83",7,"Koshi","Dhankuta","Total.Population",163412
"84",8,"Koshi","Terhathum","Total.Population",101577
"85",9,"Koshi","Sankhuwasabha","Total.Population",158742
"86",10,"Koshi","Bhojpur","Total.Population",182459
"87",11,"Sagarmatha","Solukhumbu","Total.Population",105886
"88",13,"Sagarmatha","Khotang","Total.Population",206312
"89",12,"Sagarmatha","Okhaldhunga","Total.Population",147984
"90",14,"Sagarmatha","Udayapur","Total.Population",317532
"91",15,"Sagarmatha","Saptari","Total.Population",639284
"92",16,"Sagarmatha","Siraha","Total.Population",637328
"93",17,"Janakpur","Dhanusha","Total.Population",754777
"94",18,"Janakpur","Mahottari","Total.Population",627580
"95",19,"Janakpur","Sarlahi","Total.Population",769729
"96",20,"Janakpur","Sindhuli","Total.Population",296192
"97",21,"Janakpur","Ramechhap","Total.Population",202646
"98",22,"Janakpur","Dolakha","Total.Population",186557
"99",23,"Bagmati","Sindhupalchok","Total.Population",287798
"100",24,"Bagmati","Kabhrepalanchok","Total.Population",381937
"101",25,"Bagmati","Lalitpur","Total.Population",468132
"102",26,"Bagmati","Bhaktapur","Total.Population",304651
"103",27,"Bagmati","Kathmandu","Total.Population",1744240
"104",28,"Bagmati","Nuwakot","Total.Population",277471
"105",29,"Bagmati","Rasuwa","Total.Population",43300
"106",30,"Bagmati","Dhading","Total.Population",336067
"107",31,"Narayani","Makawanpur","Total.Population",420477
"108",32,"Narayani","Rautahat","Total.Population",686722
"109",33,"Narayani","Bara","Total.Population",687708
"110",34,"Narayani","Parsa","Total.Population",601017
"111",35,"Narayani","Chitawan","Total.Population",579984
"112",36,"Gandaki","Gorkha","Total.Population",271061
"113",37,"Gandaki","Lamjung","Total.Population",167724
"114",41,"Gandaki","Manang","Total.Population",6538
"115",40,"Gandaki","Kaski","Total.Population",492098
"116",38,"Gandaki","Tanahu","Total.Population",323288
"117",39,"Gandaki","Syangja","Total.Population",289148
"118",44,"Dhawalagiri","Parbat","Total.Population",146590
"119",45,"Dhawalagiri","Baglung","Total.Population",268613
"120",43,"Dhawalagiri","Myagdi","Total.Population",113614
