indid,indicator_name,dsid,region,period,value,source
CHD.FUN.150,"Nepal Earthquake Flash Appeal 2015 - Overview of Requirements and Funding (Pledges)",fts-nepal-earthquake-2015,WLD,2015-03-15,114068.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-03-15,114068.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-04-26,2332442.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-04-27,203993727.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-04-29,210597727.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-04-30,219650211.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-05-01,220650211.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-05-06,323688074.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-05-20,324300314.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.145,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Pledges)",fts-nepal-earthquake-2015,WLD,2015-07-28,324400314.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-03-18,925926.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-23,1143601.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-25,2420268.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-26,49546550.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-27,72042369.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-28,83768877.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-29,95565266.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-04-30,127201588.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-01,140846806.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-02,140846806.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-03,170272178.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-04,172817878.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-05,173043645.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-06,175984919.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-07,181042639.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-08,188716260.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-09,189186370.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-10,189454429.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-11,197478824.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-12,235025601.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-13,254921971.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-14,259278154.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-17,259291876.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
CHD.FUN.146,"Total Funding to the Emergency: Nepal Earthquake - April 2015 (Funding)",fts-nepal-earthquake-2015,WLD,2015-05-18,277523137.0,http://fts.unocha.org/pageloader.aspx?page=emerg-emergencyDetails&emergID=16575
