organization,interaction_intervention_id,org_intervention_id,project_tags,project_name,project_description,activities,additional_information,start_date,end_date,clusters,sectors,cross_cutting_issues,budget_numeric,international_partners,local_partners,prime_awardee,estimated_people_reached,target_groups,location,project_contact_person,project_contact_position,project_contact_email,project_contact_phone_number,project_website,date_provided,date_updated,status,donors
Adventist Development and Relief Agency (ADRA),ADRA-NP-14-13874,"","",TICA Nepal,TICA integrates needed family planning services into ADRA's Development Local Economy to Eradicate Poverty (DEEP) Project. DEEP aims to improve the economic status of families in the targeted districts.,TICA increases access to and deman for family planning services. Behavior change activities and awareness raising activities are incorporated.,"",2014-02-01,2016-01-31,"","Economic Recovery and Development,Health","","","John Snow, Inc (JSI)","","",13948,"Women of reproductive age, married women of reproductive age, men, female youth, and male youth.",Nepal>West,Simon Lewis ,Country Director,Simon.Lewis@ADRANepal.org,"","",2015-06-26,2015-06-26,active,U.S. Agency for International Development (USAID)
Adventist Development and Relief Agency (ADRA),ADRA-NP-15-14297,"","",Network Nepal Earthquake Transitional Self-recovery Shelters,"500 shelter material kits (7 bamboo sets, 2 bags of cement, 6 bags of sand, 3kg of regular nails, 3kg of roofing nails, 18 of 7ft long CGI sheets, 2kg of gabion wires and 10m of plastic sheeting) + 500 shelter tool kits (1 shovel, 2 hand saw, 2 carpenter hammer, pliers, 1 machete “Kurpa”, 1 crow bar “Gall”, 3 woven sacks “Bora” and 1 bucket “Karai”) + train local 60 semi-skilled masons on disaster resilient shelter construction. ","","Budget is a combination of US dollars, Euros, and British Pounds",2015-07-15,2015-12-15,"","Humanitarian aid,Shelter and Housing","",297764,ADRA Asia Regional Office,ADRA Nepal,"",2500,those affected by earthquakes,Nepal>Central,"","","","","",2015-09-10,2015-09-10,active,ADRA
Adventist Development and Relief Agency (ADRA),ADRA-NP-15-14486,"","foodsecurity_site,nepal_earthquake",Creating Safe and Hygienic Environment for Earthquake-affected Families in Kavre District,establish/repair latrines; restore water supply with cash for work; distribute solar power lighting equipment; distribute fast-growing seeds and gardening tools,"","Budget is a combination of US dollars, Euros, and British Pounds",2015-10-01,2016-02-01,Water Sanitation and Hygiene,"Food Aid,Humanitarian aid,Water Sanitation and Hygiene","",372967.25,ADRA Asia Regional Office,ADRA Nepal,"",4740,those affected by the earthquake,Nepal>Central,"","","","","",2015-09-24,2015-09-28,active,ADRA
American Jewish World Service (AJWS),AJWS-NP-15-14421,"",Nepal,Short-term Shelter Project in Kavre and Sindhupalchok districts - Nepal,"AJWS is funding BBP-Pariwar to assist 32 families in four earthquake affected villages in Sindhulpalchok and Kavre with basic temporary shelter. With the support from AJWS, BBP-Pariwar will provide corrugated zinc roofing sheets and construction materials so that temporary shelter is built before the monsoon begins.
","","",2015-06-01,2015-11-30,"","Humanitarian aid,Shelter and Housing","",10000,"",Boudha Bahunipati Project-Pariwar,"","",Indigenous peoples,Nepal>Central,Anne Adundo,Grants Manager,aadundo@ajws.org,"","",2015-09-21,2015-09-21,active,Private donations
American Jewish World Service (AJWS),AJWS-NP-15-14423,"","foodsecurity_site,Nepal",Support for Earthquake Victims of LBT Community,"AJWS is funding Mitini to assist the families of nine of its members in Kavre, Hetauda and Nuwakot areas who have lost their homes to the earthquake to rebuild their homes and procure livestock and seeds for the new planting season. Material for building and livestock will be purchased at the local market. Seeds will be procured from a local agricultural seed bank. 



","","",2015-07-01,2015-12-31,"","Agriculture,Humanitarian aid,Shelter and Housing","",7500,"",Mitini-Nepal,"","",Sexually diverse communities (LGBTI)\Transgender,Nepal>Central,Anne Adundo,Grants Manager,aadundo@ajws.org,"","",2015-09-21,2015-09-21,active,Private donations
CARE,CARE-NP-11-12830,1862.0,"",Hariyo Ban Program,Reduce the adverse impacts of climate change and threats to biodiversity conservation,"Addressing the key threats, drivers and vulnerabilities identified through various assessment including underlying causes of poverty and vulnerability analysis (UCVPA) through community and stakeholders consultation. Capacity building of GON, partners, local communities, target population in biodiversity conservation, REDD+ & ecosystem services, climate change adaptation, governance, improved livelihoods and Gender & social inclusion. Piloting, testing and expanding the vulnerability assessment, adaptation planning, participatory monitoring and evaluation tools and techniques.","",2011-08-26,2016-07-31,"",Environment,"","","","","",309680,"Poor, vulnerable and socially excluded (PVSE) men and women",Nepal,"","","","","",2015-05-06,2015-06-25,active,""
CARE,CARE-NP-13-12829,1857.0,"",SAMBAD: Dialogue for Peace Project,"To promote peace through increased mutual trust and social harmony in the communities of Nawalparasi and Runpandehi districts.
","Gap analysis of conflict affected populations' needs and government's interim relief packages. Capacity building of partners, local peace structures, target population for peace and economic empowerment of conflict victims. <br><br>Enhancing dialogue between conflicting parties/persons through creation of conducive environment.","",2013-08-09,2016-08-08,"",Peace and Security,"","","","","",30000,"individual/families affected during Armed Conflict- killed,missing, injured, displaced, orphaned, victims of sexual and GBV, ex-combatants, etc",Nepal>West,"","","","","",2015-05-06,2015-06-25,active,""
CARE,CARE-NP-14-12826,1849.0,"",The Tipping Point/Aba Mero Palo,"Innovation and Advocacy in Addressing Underlying Causes of Child Marriage in Nepal. The Tipping Point is a multi-year initiative that will address underlying causes of child marriage through a dynamic process of innovation, analysis and learning, and advocacy. The project focuses on facilitating and learning from innovative strategies to influence change-makers and root causes (drivers) of child and early forced marriage in Nepal","Adolecent Empowerment: In accordance with CARE’s empowerment framework, potential areas of impact that the Tipping Point will explore are: Agency, Relations and Structures.  Different stakeholders' engagement - including men and boys - will be one strong sub-strategy for changing power relations between adolecent girls and stakeholders at various levels. Monitoring Evaluation and Learning: The Tipping Point project has a focus on facilitating innovation and generating learning to build the evidence base for social change and “tipping points,” through documentation of best practices, high quality lessons, and results. The overall monitoring, evaluation and learning (MEL) framework for the project are based on the principles of Developmental Evaluation (DE), which sees evaluation not as a static end-point but as a strategic learning approach to decision-making. Action occurs throughout the life of the project, as actors and issues emerge, shift, and take unexpected turns that affect strategies and thus the results of the project. Evidence Based Advocacy: Tipping Point’s advocacy strategy seeks to use learning and documentation from field experience to build evidence to support the actions of local, national, and global coalitions, activists, and decision-makers against child marriage. Advocacy efforts will extend beyond a focus on formal policies - such as age of marriage laws - to include efforts to influence social and cultural institutions that drive gender discrimination and contribute to child marriage.","",2014-05-01,2017-04-30,"",Protection,"","","","","",15856,Adolecent Girls (10-19 Years) from the areas which have high Child Marriage prevalence rates,Nepal,"","","","","",2015-05-06,2015-06-25,active,Foundation(s)
PROJECT C.U.R.E.,CURE-NP-15-13012,NO-14-112,"", Nepal Orthopaedic Hospital Project ,"Project C.U.R.E. sending aid to Kathmandu, in conjunction with Dignity Health. ","","",2015-05-14,2016-05-14,Health,Humanitarian aid,"","","",Dignity Health, Nepal Orthopaedic Hospital,"","",Nepal>Central,"","","","","",2015-06-01,2015-06-28,active,""
PROJECT C.U.R.E.,CURE-NP-15-13049,NP-13-099,"",NDA-Nepal Orthopaedic Hospital Project ,Project C.U.R.E is providing aid to the Nepal Orthopaedic Hospital. ,"","",2015-02-19,2016-02-23,"",Health,"","",XPO Global Logistics,Operation Walk Chicago,"","","",Nepal,"","","","","",2015-06-03,2015-07-01,active,""
PROJECT C.U.R.E.,CURE-NP-15-14498,41504,nepal_earthquake,Nepal In Kind Donations-Humanitarian Aid and Disaster Relief,Nepal In Kind Donations-Humanitarian Aid and Disaster Relief,"","",2015-07-05,2017-07-05,Health,Health,"","","","","","","",Nepal,"","","","","",2015-09-29,2015-10-01,active,""
PROJECT C.U.R.E.,CURE-NP-15-14506,11502,nepal_earthquake,Nepal Humanitarian Aid and Disaster Relief - Real Medicine Foundation,Nepal medical supplies,"","",2015-08-08,2016-01-08,Health,Health,"",493092,"","","","","",Nepal,"","","","","",2015-09-29,2015-10-01,active,Real Medicine Foundation
Giving Children Hope,GCH-NP-15-12675,"",nepal_earthquake,Nepal Earthquake Disaster Response,"Nepal was hit with a 7&#46;8 magnitude earthquake on Saturday, April 25th. The epicenter was in the capital city, Kathmandu where there is a population of 3 million people. Giving Children Hope is collaborating with those on the ground to provide any aid we can to those who have survived. Supplies including: food, hygiene products, and cots will be sent immediately. ","Giving Children Hope is coordinating relief efforts with partners on the ground to send at least one 40' shipping container full of supplies. We are currently collecting products and funds to ship supplies there. We are also hoping to coordinate a few teams from China to help in the on the ground relief efforts. Through our partner Real Medicine Foundation we are compiling a list of supplies and gathering them to be shipped to Nepal. Kathmandu Teaching Hospital in Nepal will be used as a hub to reach outlying villages that have not received help yet. Some items such as tents are sold out in the surrounding areas, which is a concern as monsoon season will hit in 1-2 months. ","",2015-04-25,2020-04-25,"Health,Nutrition","Food Aid,Humanitarian aid,Non-food relief items (NFIs)","",50000,Real Medicine Foundation,Kathmandu Teaching Hospital,"",20000,Children and their families effected by Nepal Earthquake,Nepal>Central,Mikaela Buchanan,Executive Coordinator,mbuchanan@gchope.org,7145234454,http://gchope.org/products/nepal-earthquake-disaster-relief/,2015-04-27,2015-05-08,active,""
GlobalGiving,GG-NP-06-10078,1268.0,"","A Clean Solar Alternative to Kerosene Lamps, Nepal","This project aims to replace kerosene lamps with solar-based household lighting (known as Solar Tuki) through an integrated approach of community mobilization and technological intervention.<br><br> In Nepal, those without access to electricity generally rely on kerosene wick lamps (in 2.4 million households). This form of lighting is neither cost-effective nor environment-friendly. Fumes from the kerosene lamps affect the eyes and lungs and contribute to global warming due to release of greenhouse gas. The quality of light is inferior and there is a high risk of accidental fire. Additionally since kerosene has to be imported, government has to spend its limited foreign currency.<br><br> 1) Train village youth & support children's club activities, 2) Community orientation, 3) Train on how to form saving & credit groups, 4) Train on repair & maintenance, 5) Distribute solar tuki through microfinancing, 6) Install charging system<br><br> Improvement in quality of life, health (especially of children and women), and studying conditions; increase in evening economic activity; reduction in fire hazards, environmental pollution, global warming, and dependency on imported kerosene.","","",2006-11-30,2015-11-13,"",Energy,"",6805,"",Environmental Camps for Conservation Awareness,"","","",Nepal>Central,Prachet Kumar Shrestha,Team Leader,prachets@mos.com.np,+ 977 1 5553870,http://globalgiving.org/1268,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-08-10079,2415.0,"",Improve education for Nepali girls and minorities,"In remote villages in Nepal, we build and repair primary schools and provide specialized early childhood education training for local teachers, because government-sponsored training is limited.<br><br> Before we opened the Santi Primary School in May 2008, there was no school in a Tamang village in Ramche, a rural area in the mountains of Nepal's Sindhupalchok district. About half the people in the village are Tamang, one of the smallest indigenous ethnic minorities in Nepal whose members often face discrimination.<br><br>After we built the school, we discovered that many of the surrounding schools lacked resources; either they needed books or renovations or their teachers lacked training.<br><br> We're addressing the problem in 3 ways. First, we provide specialized early childhood education training for teachers at our school and at surrounding schools. And, we make renovations to schools. Finally, we're providing classroom materials.<br><br> Barely half of all children complete primary school in Nepal. We have found success by making learning fun with more child-friendly classrooms. The children want to come to school, their parents are satisfied, and teachers are happy with their jobs.","","",2008-10-31,2015-11-13,"",Education,"",6330,The Santi School Project,"","","","",Nepal>Central,Christopher Heun,Founder,christopher.heun@gmail.com,1 917 574 8454,http://globalgiving.org/2415,2014-11-25,2015-01-08,active,Private donations
GlobalGiving,GG-NP-08-10107,2055.0,foodsecurity_site,Rescue Children Suffering From Severe Malnutrition,"Fifty percent of Nepali children under five-years-old are malnourished. Among the consequences of malnutrition are stunted growth, increased susceptibility to disease and permanent intellectual damage. Malnutrition is the main cause of death for as many as 50,000 Nepali children each year.<br><br>NYF's unique program restores health to a malnourished child while simultaneously educating the mother in proper childcare, hygiene, and nutrition. And all of this can be done with a donation of $260.<br><br> In Nepal, half the children under five are malnourished and poor nourishment is one of the leading causes of death for young children. Surprisingly, one of the main causes of the problem is ignorance, rather than poverty. Yet, it is just this ""curable"" cause that makes NYF's Nutritional Rehabilitation Home program so successful.<br><br> Through an innovative program of nutritional therapy using only locally produced ingredients, NYF has helped save thousands of children afflicted with malnutrition. While the children are recovering their health, NYF nutritionists teach the mothers safe nutritional practices and proper food preparation. This not only ensures that the children stay healthy once they leave the NRH, the entire family's nutrition benefits from the mother's training.<br><br> NYF's NRHs prevent children from dying of malnutrition and from growing up with life-long mental and physical disabilities resulting from malnourishment. Because the children's mothers are educated, the program's impact spreads throughout Nepal.","","",2008-04-23,2015-11-13,"",Health,"",23957,Nepal Youth Foundation (NYF),"","","","",Nepal>Mid-Western,Janis Olson,Executive Director,"jolson@nepalyouthfoundation.org,tparker@nepalyouthfoundation.org,jfrost@nepalyouthfoundation.org",415.331.8585,http://globalgiving.org/2055,2014-11-25,2015-01-08,active,Private donations
