"NEPAL: Who is doing What, Where (3W)",,Date:,10/2/2015,,,,,,,,
,,,,,,,,,,,
WHO,WHERE (14 districts),,,,WHAT (ongoing and completed activities),,,Beneficiaries,,,
,,,,,,,,,,,
Cluster,District,HLCIT_CODE_DIST,VDC,HLCIT_CODE_VDC,Activity type,Item,Quantity,TOTAL,Unit,Targets,Comments
Child Protection,Bhaktapur,527 2 05 26,, ,Establishment of child friendly spaces,,1,,,,
Child Protection,Bhaktapur,526 2 05 26,, ,Establishment of child friendly spaces,,2,,,,
Child Protection,Bhaktapur,524 2 05 26,Bhaktapur Municipality,524 2 05 26 3 001,Establishment of child friendly spaces,,9,1345,,,
Child Protection,Bhaktapur,524 2 05 26,Madhyapur Thimi Municipality,524 2 05 26 3 002,Establishment of child friendly spaces,,,478,,,
Child Protection,Bhaktapur,524 2 05 26,Bhaktapur Municipality,524 2 05 26 5 011,Establishment of child friendly spaces,,1,113,,,
Child Protection,Bhaktapur,528 2 05 26,Dadhikot,524 2 05 26 5 011,Establishment of child friendly spaces,,2,,,,
Child Protection,Bhaktapur,524 2 05 26,Gundu,524 2 05 26 5 013,Establishment of child friendly spaces,,2,228,,,
Child Protection,Bhaktapur,524 2 05 26,Gundu,524 2 05 26 5 013,Psychosocial support,,,2,,,
Child Protection,Bhaktapur,524 2 05 26,Chitapol,524 2 05 26 5 016,Psychosocial support,,,39,,,
Child Protection,Bhaktapur,524 2 05 26,,,Psychosocial support,,,297,,,
Child Protection,Bhaktapur,524 2 05 26,Bhaktapur Municipality,524 2 05 26 3 001,Psychosocial support,,,492,,,
Child Protection,Bhaktapur,524 2 05 26,, ,Psychosocial support,,,1141,,,
Child Protection,Bhaktapur,524 2 05 26,, ,Identification of Orphan Children,,,1,,,
Child Protection,Bhaktapur,524 2 05 26,,,Unaccompanied and Separated Children identified,,,2,,,
Child Protection,Dhading,524 2 05 30,Sangkos,524 2 05 30 5 027,Establishment of child friendly spaces,,,321,,,
Child Protection,Dhading,524 2 05 30,Sunaulabajar,524 2 05 30 5 035,Establishment of child friendly spaces,,,90,,,
Child Protection,Dhading,524 2 05 30,Nilkanth,524 2 05 30 5 026,Psychosocial support,,,18,,,
Child Protection,Dhading,524 2 05 30,Jharlang,524 2 05 30 5 016,Psychosocial support,,,1,,,
Child Protection,Dhading,524 2 05 30,Chhatre Deurali,524 2 05 30 5 047,Psychosocial support,,,300,,,
Child Protection,Dhading,524 2 05 30,Salyankot,524 2 05 30 5 014,Psychosocial support,,,67,,,
Child Protection,Dhading,524 2 05 30,Maidi,524 2 05 30 5 024,Psychosocial support,,,141,,,
Child Protection,Dhading,524 2 05 30,Sangkos,524 2 05 30 5 027,Psychosocial support,,,193,,,
Child Protection,Dhading,524 2 05 30,Sunaulabajar,524 2 05 30 5 035,Psychosocial support,,,164,,,
Child Protection,Dhading,524 2 05 30,Jogimara,524 2 05 30 5 039,Psychosocial support,,,374,,,
Child Protection,Dhading,524 2 05 30,Kalleri,524 2 05 30 5 031,Psychosocial support,,,318,,,
