Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
A Rise of HOPE,,AAROH,NGO - Local,Nepal,Early Recovery,Shelter & NFI,Health,,,"May 1: For the first phase of 5 days we have already collected food for the survivors :
 Target people : 7000 people, (1100 families)
 Rice  grain @ 5 kg /family 5500 sacs
 lentil @ 2 kg/family                  2200 kg Shelter for 1100 families(tent) 
 We are also providing medical assistance with medical relief 

 Our spirits are high and we are working with full efforts.We have already sent the letters to Ministry of Health,District Development office and District Administration office to provide more support to the victims of Deupur V.D.C. Kavrepalanchok...",,http://aarohnepal.org/,https://www.facebook.com/aarohnepal,NA,,https://www.facebook.com/aarohnepal
Abari,,,NGO - International,International,Early Recovery,Shelter & NFI,WASH,,,"Abari is building emergency shelter and sanitation facilities for the people of Dhawa and Gorkha. They are working in partnership with Rebuilding Villages and Untapped Shores. They have directly sourced the supplies for tents/shelters so that the only delays are the result of congestion at the airport, etc. They are also sourcing designs (from volunteers) for sanitation options that make use of locally (or easily obtainable) resources including bamboo and canvas.
5/1 The Abari team (including medical staff, Abari crew, and volunteers) landed in Dhawa on 4/28 and began building a large shelter for medical purposes and smaller shelters for housing within 3 days, all villagers were under shelter. Before that, they installed a large tent at Chitwan medical college, and 25+ tents in Gorkha. 
5/3 Additional supplies are arriving and the expection is that they will have completed work in Gorkha in 2-3 days, reaching 5,000 people, completely reaching 3 villages.",,"http://abari.org/abari-org-are-with-the-people-that-need-support
http://abari.org/",https://www.facebook.com/abarifriends,NA,"http://www.rebuildingvillages.org/take-action
http://www.razoo.com/story/Nepal-Earthquake
https://life.indiegogo.com/fundraisers/earthquake-nepal-accommodation-medical-camps","http://abari.org/abari-org-are-with-the-people-that-need-support
HumanityRoad SitRep
http://www.rebuildingvillages.org/news/
http://www.rebuildingvillages.org/partners/
http://abari.org/"
Accion International,,ACCION,NGO - International,USA,Assessments,,,,,"Accion had activities in-country prior to the earthquake. Status of their response unknown.(emailed a represntative to see if they are responding in any way-they have an office in India,Bangalore ) ",,http://accion.org,https://www.facebook.com/ACCION.International,https://twitter.com/accion_global,https://give.accion.org/page/contribute/default,
ACT Alliance,,,NGO - International,International,Early Recovery,Assessments,Nutrition,Shelter & NFI,,"Apr 29 - Food distribution in a school in Jharuwarashi, Lalitpur

Apr 27 - ACT was active in Nepal prior to the earthquake. Using team already in Nepal, they are working to assist many who have survived the quake, by distributing immediate life-saving supplies such as water, food, shelter and medication.

ACT Alliance members were already present in Nepal prior to the earthquake, alongside a number of national partners. ACT Alliance members have been distributing ready to eat food, blankets and tarpaulins for emergency shelter to over 2,100 displaced families in informal camps in Kathmandu valley. Rapid needs assessments have been carried out. ACT members of the ACT Nepal Forum, DanChurchAid (DCA), Finn Church Aid (FCA), Lutheran World Federation (LWF) and Lutheran World Relief (LWR) plan to assist in the areas of: WASH, shelter, food and NFI, psychosocial and livelihoods. (ACT)",,http://www.actalliance.org/,https://www.facebook.com/actalliance,https://twitter.com/actalliance,http://www.actalliance.org/get-involved/donations/?searchterm=donation,http://www.actalliance.org/stories/act-alliance-provides-emergency-response-in-nepal
ACTED,,,NGO - International,International,Early Recovery,Health,Shelter & NFI,,,"ACTED’s emergency teams, arrived in Kathmandu on April 27 and were immediately deployed outside the capital to assess needs in Sankhu, a town located 16 kilometers North-East of Kathmandu. Despite its close proximity to the capital, Sankhu has not received any humanitarian aid since the earthquake. The priority is to provide shelter (tents, plastic covers, construction kits), and drinking water as the water supply networks have been disrupted. ACTED can access the stocks prepared in country - basic survival items and contingency stocks (food rations, medicine, and water) which are then distributed by our teams directly to affected people. The teams will work alongside local people and organizations, but also in connection with international organizations (such as the Canadian NGO CECI and European NGO Alliance2015) to share resources and logistical support.","Distribution of basic survival items and contingency stocks (food rations, medicine, and water)",http://www.acted.org,https://www.facebook.com/ngoACTED,https://twitter.com/ngoACTED,http://www.acted.org/en/support-us,"http://www.acted.org/en/nepal-emergency
http://www.acted.org/en/nepal-emergency-qa-acted-s-programme-director"
Action against hunger,,,NGO - International,USA,Health,Funding,,,,emergency response in Sindhupalchok and Nuwakot,"Action Against Hunger has launched an emergency response in Sindhupalchok and Nuwakot, two of the most-affected districts. Teams specializing in water and sanitation are closely monitoring the situation in the camps in case the situation deteriorates. The psychological consequences of the earthquake are evident, so our teams have started to support the most vulnerable people, pregnant women and children, in the Thapathali Maternity Hospital. After a shock, the mental health of children and the people who care for them is key to the
 resilience of the population.",http://www.actionagainsthunger.org/,https://www.facebook.com/actionagainsthunger?_rdr,https://twitter.com/acfusa,https://my.actionagainsthunger.org/checkout/donation?eid=49215,http://www.actionagainsthunger.org/blog/nepal-reaching-isolated-populations
Action Contre la Faim (Action Against Hunger),,ACF,NGO - International,International,WASH,Health,Protection,,,"11 tons of water, sanitation, and hygiene materials like water purification units, chlorine tablets, pumps, bladders, taps, construction materials for toilets, and potties for children. Equipment for spaces dedicated to mothers and children, staffed by specialists in helping people suffering from trauma. Parents will have a calm and comfortable space in order to care for their children. This is indispensable after a disaster, as the health of children depends on it. Tarpaulins and tents to house our emergency offices and an electric generator. (ACF)",,http://www.actionagainsthunger.org/,https://www.facebook.com/actionagainsthunger,https://twitter.com/acfusa,https://my.actionagainsthunger.org/checkout/donation?eid=49215,http://www.i24news.tv/en/news/international/69042-150426-live-report-nepal-quake-death-toll-jumps-to-1-805-government
Action Works Nepal,Miteri Recycle Centre,AWON,NGO - Local,Nepal,Early Recovery,Health,Shelter & NFI,Nutrition,Assessments,"Supplying relief materials, such as medicinal supplies, temporary shelter, food",Core group of 17 staff plus volunteers,http://www.actionworksnepal.com/,https://www.facebook.com/actionworks,https://twitter.com/actionworksnepa/,"http://www.youcaring.com/emergency-fundraiser/help-survivors-of-nepal-s-earthquake-action-works-nepal/348723, http://www.actionworksnepal.com/donate/",
ActionAid International,ActionAid Nepal,,NGO - Local,Nepal,Shelter & NFI,WASH,Nutrition,Health,,"ActionAid Nepal responded immediately and began our in-country emergency response. The team has mobilised its large network of women’s and youth groups to give out relief packages (dry foods, water, mats and tarpaulin sheets) in some of the worst hit areas, such as Khokana in the southern Lalitpur area of the Kathmandu valley, where of a population of around 10,000 over 80% of houses and public facilities were completely destroyed.

The first phase of the emergency response will be to provide immediate relief to the injured and homeless who are still emerging from the rubble. The second phase will be to provide help to protect people from the threat of disease, hunger and lack of good quality accommodation. (Source: http://www.actionaid.ie/2015/04/people-nepal-are-desperate-need-food-shelter-and-emergency-supplies-writes-olga-mcdo)",,http://www.actionaid.ie/,NA,https://twitter.com/actionaid,http://www.actionaid.ie/what-you-can-do/donate/make-once-donation,http://www.actionaid.ie/2015/04/people-nepal-are-desperate-need-food-shelter-and-emergency-supplies-writes-olga-mcdo
ActionAid International,,,NGO - International,International,Shelter & NFI,WASH,Nutrition,Health,,"ActionAid operates an office in Nepal with Bimal Phnuyal as its director, and it is likely that the organization will respond. However, as of April 29 no specific plans or activities have been reported besides emergency fundraising",,http://actionaid.org,https://www.facebook.com/ActionAid,https://twitter.com/actionaid,http://www.actionaid.org/nepalappeal,
