"UserResponseIntId,""UserPollStateId"",""Country"",""Age"",""Gender"",""District"",""Province"",""CreatedDate"",""AgeGroup"",""UserPollStateIntId"",""Feel Safe Sending Children to School"",""Scared to Visit Health Facilities"",""Make a Living"",""Conditions in Quarantine"",""Discrimination"",""Ebola Response Making Progress"",""Feel Safer Traveling without Road Blocks"",""Harassment at Checkpoints"",""Prepared for Future Health Crisis"",""Support Families of Ebola Sufferers"",""Trusting the Information"",""Welcome Ebola Survivors"",""What Makes People Stay in Quarantine"",""Worried about Quarantine"""
"1587737739505806592,""3087173706"",""Sierra Leone"",""28"",""Male"",""Western Urban"",""Western"",""2014-12-03"",""25 to 34"",""-6066135540838439936"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"1118849272996298112,""3087173806"",""Sierra Leone"",""24"",""Female"",""Bo"",""Southern"",""2014-12-03"",""15 to 24"",""7756109415834910720"","""","""",""No"","""","""",""No"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"4428343085860249088,""3087174106"",""Sierra Leone"",""23"",""Female"",""Western Urban"",""Western"",""2014-12-03"",""15 to 24"",""6570212644265504768"","""","""",""Don't know"","""","""",""Don't know"","""",""Yes"","""",""Don't know"","""","""","""",""Don't know"""
"3188246531032416768,""3087174906"",""Sierra Leone"",""28"",""Female"",""Kono"",""Eastern"",""2014-12-03"",""25 to 34"",""2287650128983479552"","""","""",""Don't know"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"178274713465662336,""3087175706"",""Sierra Leone"",""20"",""Female"",""Kenema"",""Eastern"",""2014-12-03"",""15 to 24"",""-289294396516277696"","""","""",""No"","""","""",""Yes"","""",""No"","""",""Yes"","""","""","""",""Yes"""
"1113010062354523264,""3087176606"",""Sierra Leone"",""19"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""5764830313081366528"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""Don't know"","""","""","""",""Yes"""
"1401285599484498944,""3087177206"",""Sierra Leone"",""21"",""Female"",""Bombali"",""Northern"",""2014-12-03"",""15 to 24"",""3503756361486071808"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""Don't know"","""","""","""",""Yes"""
"2841800480016523264,""3087178006"",""Sierra Leone"",""20"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""-4533690534665718784"","""","""",""No"","""","""",""Yes"","""",""Yes"","""",""No"","""","""","""",""Yes"""
"-532442714705805888,""3087178906"",""Sierra Leone"",""19"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""4855776918707264512"","""","""",""No"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"2308222045624924160,""3087179506"",""Sierra Leone"",""17"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""3252408241687824896"","""","""",""No"","""","""",""Yes"","""",""Yes"","""",""Don't know"","""","""","""",""Yes"""
"2664018053307003904,""3087179606"",""Sierra Leone"",""27"",""Male"",""Kenema"",""Eastern"",""2014-12-03"",""25 to 34"",""1911482802469558528"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"1284423231498651136,""3087179806"",""Sierra Leone"",""21"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""1086972574127908864"","""","""",""Yes"","""","""",""No"","""",""Yes"","""",""Don't know"","""","""","""",""Yes"""
"-550521863664560640,""3087179906"",""Sierra Leone"",""17"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""1085942266131732608"","""","""",""Yes"","""","""",""Yes"","""",""Don't know"","""",""Yes"","""","""","""",""Yes"""
"3393584377358433792,""3087181306"",""Sierra Leone"",""20"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""8965860676104546304"","""","""",""Don't know"","""","""",""Don't know"","""",""Don't know"","""",""Don't know"","""","""","""",""Don't know"""
"398368874046935616,""3087181406"",""Sierra Leone"",""17"",""Female"",""Bo"",""Southern"",""2014-12-03"",""15 to 24"",""-8104549185739607040"","""","""",""Don't know"","""","""",""Yes"","""",""Don't know"","""",""Don't know"","""","""","""",""Don't know"""
"737207566486193664,""3087181506"",""Sierra Leone"",""18"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""8649935144820401152"","""","""",""No"","""","""",""Yes"","""",""No"","""",""Yes"","""","""","""",""Yes"""
"661584478224581888,""3087182106"",""Sierra Leone"",""21"",""Female"",""Pujehun"",""Southern"",""2014-12-03"",""15 to 24"",""-1053526074323735040"","""","""",""Yes"","""","""",""Don't know"","""",""Don't know"","""",""Don't know"","""","""","""",""Yes"""
"-699565238421458048,""3087184506"",""Sierra Leone"",""20"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""3738029947467892224"","""","""",""No"","""","""",""Don't know"","""",""Don't know"","""",""Don't know"","""","""","""",""Yes"""
"815262714601777152,""3087185306"",""Sierra Leone"",""35"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""35+"",""2946301257908763648"","""","""",""No"","""","""",""No"","""",""No"","""",""Yes"","""","""","""",""Yes"""
"1889651631482198528,""3087185806"",""Sierra Leone"",""21"",""Male"",""Kenema"",""Eastern"",""2014-12-03"",""15 to 24"",""-7167629799682896896"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"3679689695602374144,""3087186006"",""Sierra Leone"",""23"",""Female"",""Western Urban"",""Western"",""2014-12-03"",""15 to 24"",""7421623289168582656"","""","""",""No"","""","""",""No"","""",""Yes"","""",""Yes"","""","""","""",""Yes"""
"1071134780727762688,""3087186906"",""Sierra Leone"",""19"",""Female"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""7727946628138571776"","""","""",""Yes"","""","""",""Yes"","""",""Yes"","""",""No"","""","""","""",""Yes"""
"-210283938881606336,""3087187506"",""Sierra Leone"",""16"",""Male"",""Western Rural"",""Western"",""2014-12-03"",""15 to 24"",""8422010106433481728"","""","""",""No"","""","""",""Yes"","""",""Don't know"","""",""Don't know"","""","""","""",""No"""
"1233864366890419200,""3087187706"",""Sierra Leone"",""29"",""Female"",""Bo"",""Southern"",""2014-12-03"",""25 to 34"",""417378676692862272"","""","""",""Don't know"","""","""",""Yes"","""",""No"","""",""Yes"","""","""","""",""Yes"""
"319577007955026688,""3087187806"",""Sierra Leone"",""27"",""Female"",""Western Urban"",""Western"",""2014-12-03"",""25 to 34"",""-6253409665002386432"","""","""",""No"","""","""",""Yes"","""",""Yes"","""",""Yes"","""","""","""",""No"""
"3960554747590451,""3087188606"",""Sierra Leone"",""35"",""Female"",""Western Urban"",""Western"",""2014-12-03"",""35+"",""2761539573576448512"","""","""",""Yes"","""","""",""Yes"","""",""No"","""",""Yes"","""","""","""",""No"""
