ID;Date;Respondent Organisation;Respondent position;Gender;District; compliance to quarantine restrictions;stigma;food and water in quarantine;trust in authorities;Trusting the Information;burial teams;safety and acceptance;access to health care;gender equality;surveillance teams;help lines;Ebola Response Making Progress;main reason people do not respect quarantine restrictions;main reason for non-compliance;main reason for compliance;complacency colleagues;complacency people;valued and appreciated;removal of checkpoints making fight against Ebola more difficult;removal of checkpoints makes...;welcomed in communities;people confident seeking medical help for non-Ebola illnesses;gender based violence (1-5);gender based violence (Y/N);Follow up to GBV;emotional stress;What is the highest stress factor?;corruption;communication activities ;feedback influencing oganization's actions;what else can be done to fight Ebola? (choose 3 options);;;;
GT_EbolaWorkersR1_9;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;2;5;2;2;;2;2;2;5;1;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_11;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;1;4;3;2;;3;2;2;2;1;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_12;21.11.2014;Plan Int'I;Staff;Female;Western Area Rural Urban;1;4;2;2;;3;1;3;3;3;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_13;21.11.2014;Plan Int'I;Staff;Female;Bombali;2;3;2;3;;2;2;3;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_14;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;1;4;2;3;;2;1;3;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_15;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;1;4;2;3;;3;2;3;1;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_16;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;1;4;2;3;;3;1;2;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_17;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;1;2;3;2;;3;1;2;3;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_18;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;5;3;1;;3;2;3;3;1;1;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_19;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;1;4;2;1;;3;2;3;3;2;3;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_20;21.11.2014;Plan Int'I;prog Officer/CP;Male;Kailahun;1;5;2;3;;3;1;2;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_21;21.11.2014;Plan Int'I;Staff;Female;Kailahun;2;3;4;3;;3;3;4;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_22;21.11.2014;Plan Int'I;Staff;Male;Kailahun;3;1;3;1;;2;2;2;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_23;21.11.2014;Plan Int'I;Staff;Male;Kailahun;2;4;1;3;;1;3;2;3;4;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_24;21.11.2014;Plan Int'I;Staff;Male;Bo;2;5;3;1;;2;2;2;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_25;21.11.2014;Plan Int'I;Staff;Male;Moyamba;2;5;3;1;;2;2;2;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_26;21.11.2014;Plan Int'I;Staff;Male;Moyamba;3;4;2;1;;2;2;2;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_27;21.11.2014;Plan Int'I;Staff;Male;Moyamba;3;5;3;1;;2;1;3;4;3;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_28;21.11.2014;Plan Int'I;Staff;Male;Kailahun;2;4;1;3;;1;2;2;4;3;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_29;21.11.2014;Plan Int'I;Staff;Male;Moyamba;3;4;3;1;;2;2;4;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_30;21.11.2014;Plan Int'I;Staff;Male;Western Area Rural Urban;2;4;2;1;;3;2;3;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_31;21.11.2014;Plan Int'I;Staff;Female;Port loko;3;4;2;1;;1;1;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_32;21.11.2014;Plan Int'I;Staff;Female;Bombali;3;5;3;1;;2;1;2;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_33;21.11.2014;Plan Int'I;Staff;Female;Moyamba;2;3;4;3;;2;1;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_34;21.11.2014;Plan Int'I;Staff;Female;Port loko;3;4;3;1;;1;2;3;4;2;3;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_35;21.11.2014;Plan Int'I;Staff;Female;Kailahun;3;4;2;1;;2;1;2;4;2;2;4;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_36;21.11.2014;Plan Int'I;Staff;Female;Moyamba;2;5;2;1;;1;1;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_37;21.11.2014;Plan Int'I;Staff;Male;Bombali;3;1;2;1;;1;3;5;2;1;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_38;21.11.2014;Plan Int'I;Staff;Female;Port loko;2;3;4;2;;2;2;2;4;2;2;3;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_39;21.11.2014;Plan Int'I;Staff;Male;Bombali;1;5;2;2;;2;1;2;5;3;1;5;;;;;;;;;;;;;;;;;;;;;;;
GT_EbolaWorkersR1_40;21.11.2014;Plan Int'I;Staff;Female;Moyamba;2;4;3;2;;2;5;3;4;2;1;5;;;;;;;;;;;;;;;;;;;;;;;
