longitude,latitude,what3words,hf_type,dist_name,vdc_name1,vdc_code1
83.34710173,28.21960629,scooping.bookcases.spine,Sub Center,Baglung,Righa,W-DHA-45-050
84.25028538,28.53817744,perceives.orientated.ruddy,DPHO,Manang,Chame,W-GAN-41-002
87.89133036,27.34808092,mourners.talent.query,Sub Health Post,Taplejung,Mehele,E-MEC-01-022
86.68965205,27.06316093,ambulances.purposeful.hobbyists,Sub Health Post,Udayapur,Jante,E-SAG-14-015
86.65350687,26.94307061,beamy.lint.remarking,Health Post,Udayapur,Rauta,E-SAG-14-029
86.57307199,26.97575563,selected.excitedly.abroad,Sub Health Post,Udayapur,Dumre,E-SAG-14-010
84.8399759,27.92158172,areas.recounted.developer,Sub Health Post,Dhading,Dhola,C-BAG-30-010
80.88828936,29.39171331,bloke.disclaimers.dropping,Sub Center,Doti,Barchhen,F-SET-70-003
82.13824433,29.34525587,salads.cluttered.downfall,DPHO,Jumla,Chandannath,M-KAR-63-004
85.37145336,27.33687303,confiding.ventilating.cloying,Sub Center,Makwanpur,Faparbari,C-NAR-31-016
83.65256004,28.13621796,raising.mistreat.consumables,Sub Health Post,Parbat,Kurgha,W-DHA-44-031
85.29093571,28.10052,flapjacks.composition.nutshell,DPHO,Rasuwa,Dhunche,C-BAG-29-005
85.812327,27.36370745,reaches.tethered.restore,Health Post,Sindhuli,Bastipur,C-JAN-20-006
86.19731567,26.73189846,snorkelers.waffled.tornado,Sub Health Post,Siraha,Chatari,E-SAG-16-027
81.9000807,28.47797735,turnstile.community.homebound,Sub Health Post,Surkhet,Ghumkhahare,M-BHE-59-019
87.54414238,27.44557806,enlighten.chug.cranberries,Sub Center,Taplejung,Thukima,E-MEC-01-047
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
85.91990061,26.7531964,blackboards.blasting.granaries,DPHO,Dhanusa,JanakpurN.P.,C-JAN-17-048
84.35693357,28.23999301,octave.imitate.glimpses,DPHO,Lamjung,Besishahar,W-GAN-37-007
87.49842316,26.47130387,complied.measurements.flatbreads,Hospital,Morang,Rangeli,E-KOS-05-050
84.58015455,27.36073867,dribble.insulator.mower,Supply Center,Parsa,Thori,C-NAR-34-080
86.76246683,26.5456712,relinquishing.luckiest.lightened,DPHO,Saptari,RajbirajN.P.,E-SAG-15-097
86.70194886,26.80942428,farces.descending.doubling,DPHO,Udayapur,TriyugaN.P.,E-SAG-14-043
86.6531335,26.81329414,infinity.reclamation.detriment,Hospital,Udayapur,TriyugaN.P.,E-SAG-14-043
86.88725845,26.81106036,intimidates.soundbites.angers,Primary Health Center,Udayapur,Beltar,E-SAG-14-007
86.34755962,27.13209419,damply.fuzzy.gushes,Health Post,Udayapur,Yayankhu,E-SAG-14-045
86.56135396,27.09240987,readable.employs.gums,Health Post,Udayapur,Rupatar,E-SAG-14-031
86.53478724,27.06115902,tastiest.decorating.watchwords,Health Post,Udayapur,Lekhgau,E-SAG-14-022
86.68323734,27.08858196,partridges.subordinates.laughed,Health Post,Udayapur,Balamta,E-SAG-14-002
86.67415929,27.01687975,creeks.mushy.cuisine,Health Post,Udayapur,Bhuttar,E-SAG-14-008
86.50738302,26.95925792,midbrain.diagnose.barons,Health Post,Udayapur,Pachchawati,E-SAG-14-027
86.66673887,26.77895797,adjudicator.fertile.suntanned,Health Post,Udayapur,TriyugaN.P.,E-SAG-14-043
86.65350687,26.94307061,beamy.lint.remarking,Health Post,Udayapur,Rauta,E-SAG-14-029
87.01862291,26.80739925,spectating.rooting.campers,Health Post,Udayapur,Thoksila,E-SAG-14-041
86.39710386,26.98560491,backhanded.unchained.certifies,Sub Health Post,Udayapur,Katari,E-SAG-14-017
86.44382801,26.97186394,squashes.eyepiece.malt,Sub Health Post,Udayapur,Risku,E-SAG-14-030
86.48134607,27.02574896,aforesaid.magpie.outlandish,Sub Health Post,Udayapur,Tawashree,E-SAG-14-039
86.49221674,27.07953024,scarring.unreserved.embarrasses,Sub Health Post,Udayapur,Okhale,E-SAG-14-026
86.4678327,27.06351669,retrieval.depleted.angled,Sub Health Post,Udayapur,Limpatar,E-SAG-14-023
86.43230095,27.0554161,spendthrift.brawn.paddle,Sub Health Post,Udayapur,Sirise,E-SAG-14-035
