Country,Cluster,Objective,Activity,Indicator,Unit,Burkina Faso_Target,Boucle du Mouhoun_Target,Cascades_Target,Centre_Target,Centre Est_Target,Centre Nord_Target,Centre Ouest_Target,Centre Sud_Target,Est_Target,Hauts Bassins_Target,Nord_Target,Plateau Central_Target,Sahel_Target,Sud Ouest_Target
Burkina Faso,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess practical knowledge and hygiene practices in prone-Ebola schools and regions,Number of children with basic hygienic practical skills,Children,,274196,105832,,,,,,173860,,291522,,116795,112974
Burkina Faso,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the services and WASH infrastructures in learning spaces located in Ebola-prone regions,Number of learning spaces located in Ebola-prone regions that have been assessed,Spaces,,3060,1181,,,,,,1940,,3254,,1304,1261
Burkina Faso,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build and rehabilitate WASH infrastructures convenient for men and women in schools/learning spaces,Number of infrastructures rehabilitated,Facilities,,,,,,,150,,150,,1050,,150,
Burkina Faso,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Develop modules to focus on nutritional and agricultural good practices,Number of quality modules developped,Modules,2,,,,,,,,,,,,,
Burkina Faso,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Develop peace education and conflict prevention modules. Support the Ministry of Education in the integration of peace education and conflict prevention in the programme,Number of modules integrated in the programme,Modules,,,,,,,,,,,,,2,
Burkina Faso,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthen the capacities of teachers/other members of the educational staff in educational issues on emergency situations, girls’ education, outbreaks, nutrition, hygiene promotion and psychosocial support",Number of teachers/other members from the educational staff trained,Teachers,,,,150,,,,,,,,,150,
Burkina Faso,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Distribute hygiene kits in early childhood development centers and in schools,Number of classrooms equipped with enough and adequate furniture,Classrooms,,,,,,,,,,,,,500,
Burkina Faso,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise assessments of educational interventions,Number of assessments of educational interventions' results to help improve practices and accountability,Evaluations,1,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the coverage of response campaigns to epidemics,Proportion of the population that have received an early intervention,Percentage,90,,,,,,,,,,,,,
Burkina Faso,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Strenghen health staff's competencies in checkpoints, sentinel sites and health facilities on early warning system of diseases with a potential to cause epidemics",Number of staff trained on early warning of diseases with a potential to cause epidemics,Units,2000,,,,,,,,,,,,,
