Country,Cluster,Objective,Activity,Indicator,Unit,Chad_Target,Barh El Gazel_Target,Batha_Target,Borkou_Target,Chari Baguirmi_Target,Ennedi Est_Target,Guera_Target,Hadjer Lamis_Target,Kanem_Target,Lac_Target,Logone Occidental_Target,Logone Oriental_Target,Mandoul_Target,Mayo Kebbi Est_Target,Mayo Kebbi Ouest_Target,Moyen Chari_Target,NDjamena_Target,Ouaddai_Target,Salamat_Target,Sila_Target,Tandjile_Target,Tibesti_Target,Wadi Fira_Target
Chad,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Community engagement campaigns for a social cohesion through public debates, film-making, theatre and music, interactive radio programme production, sporting and cultural competitions in return areas",Number of community engagement campaigns through community awareness mobilisation campaigns for social cohesion,Communities,50,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the monitoring of the setting-up of school canteens by the WFP,"Number of children who will receive school meals once a day, 20 days a month for at least 5 months in 2015",Children,207443,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthening of school governing bodies’ capacities (AME, APE) for the sustainability of activities",Number of school governing bodies with strenghened capacities,Commitees,50,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train teachers on peace culture and pacific cohabitation,Number of teachers trained on peace culture and pacific cohabitation,Teachers,180,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Training and retraining of teachers on sdidactical models,Number of teachers retrained on didactical models,Teachers,180,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Build temporary emergency learning spaces,Number of ETAs built,ETA,120,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Conduct ‘Back to School’ awareness campaigns to mobilise children in communities,Number of children in communities made aware of ‘Back to School’ campaigns that have been carried out,Children,150740,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute a school equipment kit per student in case of floods (school bag, notebooks, pens, pencils, sharpeners, rulers etc.)","Number of students that received a school equipment kit (school bag, notebook, pen, pencil, sharpener, ruler etc.)",Pupils,5600,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute a school supply kit to each student (school bag, notebooks, pen, pencil, sharpener, ruler etc.)",Number of students who have received a school supply kit,Children,150740,,,,,,,,,,,,,,,,,,,,,,
Chad,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Distribute school equipment kits to returnee students (a school bag, notebooks, a pen, a pencil, a sharpener, a ruler etc.) living in return areas",Number of returnee students that received a school equipment kit,Teachers,30,,,,,,,,,,,,,,,,,,,,,,
