Country,Cluster,Objective,Activity,Indicator,Unit,Gambia_Target,Banjul_Target,Central River_Target,Lower River_Target,North Bank_Target,Upper River_Target,Western_Target
Gambia,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish an inter and intra sector coordination mechanisms in the targeted areas,Minutes of inter and intra sector coordination mechanisms meetings,Meetings,2,,,,,,
Gambia,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Participate in the analysis of the risk and vulnerabilities of education at school, regional and national level",Risk and vulnerability assessment report,Reports,1,,,,,,
Gambia,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Build capacities of MoE at national and local level in emergency preparedness and response,Number of MoE officials trained at district/local level,Government Officials,,10,8,7,7,8,10
Gambia,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide basic educational supplies for affected children,Number of affected children having access to basic educational supplies,Children,4188,,,,,,
Gambia,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Epidemiological reporting tools develop, validated, printed and distributed to all health facilities",No. of monthly epidemiological reports received at central level,Tools,,1,1,1,1,1,2
Gambia,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",implementation of seasonal malaria chemo-prevention (SMC) to under fives,Number of children that received SMC drug,Children,114000,,,,,,
Gambia,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Medicine per-positioning for diseases most likely to occur locally as per contingency plan, procurement of Dignity Kits for women during child birth in emergency situation and strengthen Ebola Virus Disease (EVD) preparedness, surveillance, social mobilization and response at all levels (central, regional, health facility and community)","no. of health facilities with emergency stock of medicines, number of health facilities prepared to received and treat EVD cases",Health Facilities,,3,9,6,12,10,15
Gambia,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",procurement of Seasonal Malaria Chemo-prevention (SMC) drugs,Doses of SMC drugs procured,Children,131100,0,0,0,0,0,0
Gambia,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Staff training on Minimum Initial Service Package (MISP) and case management of diseases most likely to occur locally as per contingency plan,no. of staff trained on Minimum Initial Service Package (MISP) and case management of diseases most likely to occur locally as per contingency plan,Health Workers,,30,43,36,36,37,74
Gambia,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,conduct national measles 2 vaccination campaign,number of children immunized with measles 2,Children,114000,,,,,,
Gambia,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,conduct national measles 2 vaccination campaign,number of national measles 2 vaccination campaign conducted,Numbers,1,0,0,0,0,0,0
Gambia,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,procument of measles 2 vaccines,doses of measles 2 vaccines procured,Children,131100,0,0,0,0,0,0
Gambia,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,procurement of Dignity Kits for women during child birth in emergency situation,Number of dignity kits procured and distributed to women during child birth,Women,46000,,,,,,
Gambia,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,regional and national measles 2 vaccination campaign micro-planning,regional measles 2 vaccination campaign micro-planning conducted,Health Workers,,1,1,1,1,1,2
Gambia,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Advocacy on the analysed vulnerabilities requiring support,Number of joint advocacy related to vulnerability analysis,Assessments,0,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Disseminate widely updated data, analysis and evaluations for action",Number of reports/events with analysis of under-nutrition widely disseminated,Numbers,2,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Provide and secure nutrition, health drugs and other essential supplies to ensure access to medico-nutritional care (eg. Inpatients’ care for complicated SAM)",Number of health facilities with essential supply for medical and nutrition care supplies,Numbers,19,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Provide useful updates on SAM and MAM’s trends by regular surveys (prevalence, coverage, accessibility)",Number of SMART surveys conducted to measure acute malnutrition,Numbers,1,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Breastfeeding promotion,Number of health facilities displaying and using appropriate IEC on breast feeding promotion Number of pregnant and lactating women admitted in targeted supplementary feeding programmes,Numbers,19,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide adequate, safe, appropriate and timely complementary feeding",Number of malnourished PLW women assisted through Targeted Supplementary Feeding,Pregnant Women,4500,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide adequate, safe, appropriate and timely complementary feeding",Number of malnourished PLW women assisted through Targeted Supplementary Feeding,Pregnant Women,4500,,,,,,
Gambia,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Provide adequate, safe, appropriate and timely complementary feeding",Number of PLW registered under blanket supplementary feeding receiving appropriate complementary foods.,Pregnant Women,0,,,,,,
