Country,Cluster,Objective,Activity,Indicator,Unit,Mali_Target,Bamako_Target,Gao_Target,Kayes_Target,Kidal_Target,Koulikoro_Target,Mopti_Target,Segou_Target,Sikasso_Target,Tombouctou_Target
Mali,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Analyse the risks and vulnerabilities related to conflicts and natural disasters in the Malian education system,Report analysing the risks and natural disasters integrated in the sectoral education plan,Yes/No,1,,,,,,,,,
Mali,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Assess the impact of school-feeding on children's education,Report validated by the MEN,Yes/No,,,,1,,,1,,,1
Mali,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Evaluate the services and WASH infrastructures in learning spaces (schools, temporary spaces, moving etc.) located in cholera-prone regions",Number of learning spaces located in cholera-prone regions which have been assessed,Learning Spaces,,,40,4,,,21,,,35
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Awareness on cares for the development of young children (parents, traditional leaders, CGS, parents and teachers associations etc.)",Number of adults in targeted regions participating in parental education activities,Participants,,,2482,,,,1324,,,2194
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Awareness on cares for the development of young children (parents, traditional leaders, CGS, parents and teachers associations etc.)",Number of young children having access to awareness and development activities,Children,,,4136,,,,2207,,,3657
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Former les enseignants/autres membres du personnel éducatif à la gestion de grands groupes,Nombre de personnel éducatif (femmes/hommes) formés sur la gestion de grands groupes,Teachers,,,2009,,143,,1072,,,1776
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implement a peace education programme,Number of children benefiting from the peace education programme,Children,,,104838,,7454,,55931,,,92698
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implement a peace education programme,Number of learning spaces benefiting from the programme,Learning Spaces,,,350,,25,,186,,,309
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implement mechanisms that prevent and decrease obstacles to education (birth certificates, natural disasters, outbreaks, early marriage, access to treat VBG cases etc.)",Number of comunity institutions with mechanisms preventing and decreasing obstacles to education,Organizations,,,333,29,24,1,178,10,,295
Mali,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organise group sessions for communities on subjects related to education (community mobilisation),Number of people reached,People,,,4822,,343,,2572,,,4263
