Country,Cluster,Objective,Activity,Indicator,Unit,Mauritania_Target,Adrar_Target,Assaba_Target,Brakna_Target,Dakhlet Nouadhibou_Target,Gorgol_Target,Guidimakha_Target,Hodh Ech Chargi_Target,Hodh El Gharbi_Target,Inchiri_Target,Nouakchott_Target,Tagant_Target,Tiris Zemmour_Target,Trarza_Target
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Assess the capacity to respond to outbreaks, including Ebola","Number of staff trained in outbreaks management, including Ebola",Medical Staff,,,15,15,10,15,15,20,20,,25,10,,15
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint assessment missions on the epidemiological situation, malnutrition and maternal health",Number of missions carried-out,Joints Assessments,,,1,,,1,1,1,1,,,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Ensure the management of diseases, malnutrition and maternal health activities are supervised",Number of supervisions conducted,Missions,,,1,,,1,1,1,,,,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Implement a data collection, analysis, fast operating and sharing system related to epidemic-prone diseases (including Ebola), and on malnutrition, maternal and child health","Existence of a reliable epidemiologic data collection, analysis and operating system",Systems,,,,,,,,,,,1,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen the epidemiologic surveillance and early warning systems of Ebola cases,Number of functional surveillance sites,Sites,,,3,4,2,3,3,4,4,,2,2,,3
Mauritania,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Strengthen the epidemiologic surveillance and early warning systems of Ebola cases,Number of surveillance guidelines developed and disseminated,Documents,,,300,200,100,100,100,200,200,,500,50,,250
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Administer the tetanus toxoid vaccine during pregnancy,,,,,,,,,,,,,,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Conduct IEC and C4D activities on malnutrition, pregnancy monitoring and risk of outbreaks, including Ebola",Number of awareness campaigns conducted,Campaigns,,,10,10,5,10,10,10,10,,20,5,,10
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the different humanitarian stakeholders' effective coordination of the integrated response,Number of coordination meetings organised,Meetings,,,,,,,,1,,,2,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure the different humanitarian stakeholders' effective coordination of the integrated response,Number of drawn-up and disseminated reports,Reports,,,,,,,,1,,,2,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure the routine PEV vaccination, including against the Hib, measles and rotavirus",,,,,,,,,,,,,,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Pre-position essential medicines for the commonest diseases and outbreaks, including Ebola",Number of health facilities supplied with medicines,Health Facilities,,,10,10,,10,10,10,10,,15,5,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthen health systems,"Number of supported national health plans, including the Ebola plan",Plans,,,,,,,,,,,2,,,
Mauritania,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthen the relation between the malnutriion PEC, the HIV and tuberculosis screening",,,,,,,,,,,,,,,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure pregnant women received a preventive intermittent treatment,Number of women having received a dosage (or more) of SP,Pregnant Women,,,10,10,,10,10,15,15,,15,5,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Ensure the supplementation in iron, folic acid and zinc to PLW",Number of women and children having received a supplementation,Pregnant Women,,,10,10,,8,7,10,10,,20,5,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide and ensure the provision of medicines and consumables for the medical care of malnutrition cases,Number of facilities provided with medicines for to management of malnutrition,Health Facilities,,,10,5,,5,3,10,10,,15,2,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Provide health facilities with equipment, a laboratory and prevention equipment aginst Ebola",Number of facilities properly equipped,Health Facilities,,,10,5,5,5,5,10,10,,15,5,,10
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide impregnated mosquito nets (IMN) to health structures,Number of facilities provided with IMN,Health Facilities,,,10,5,,5,5,10,10,,10,5,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide impregnated mosquito nets (IMN) to health structures,Number of women having received IMN,Women,,,10,10,,10,10,15,15,,20,10,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthen facilities' capacities to improve the management of common diseases and outbreaks, inclufing Ebola",Number of health facilities equipped,Health Facilities,,,10,5,5,5,5,10,10,,15,5,,10
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Strengthen facilities' capacities to improve the management of common diseases and outbreaks, inclufing Ebola",Number of staff trained,Medical Staff,,,10,10,5,5,5,10,10,,25,5,,10
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the access to assisted child-birth,Number of facilities supported in terms of equipment and staff,Health Facilities,,,10,10,,4,4,10,10,,10,2,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the coordination of monitoring and response activities to the MVE,Assessments of the preparedness and the end of the outbreak,Evaluations,,,0,0,0,0,1,1,0,,2,0,,
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the coordination of monitoring and response activities to the MVE,"Number of coordination meetings by the monitoring unit, regional committees, health and information sharing PTFs",Meetings,,,2,2,2,2,2,2,2,,12,2,,2
Mauritania,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Strengthen the CTE in Nouakchott by setting-up mobile laboratories in case of outbreaks,Number of laboratories acquired and set-up,Materials,,,,,,,,,,,1,,,
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct a CMAM coverage survey,Number of coverage surveys conducted,Numbers,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct a KPC survey,Numbers of KPC surveys conducted,Numbers,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct a nutritional survey twice a year,Number of surveys conducted,Numbers,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Conduct joint nutrition, food security and WASH analysis for the most vulnerable populations",Number of regions or districts covered by a joint nutrition/food security/WASH analysis,Regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support NHIS in the collection and compilation of routine data,Number of regions using new NHIS tools,Regions,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Support NHIS in the collection and compilation of routine data,Percentage of reports completeness by wilayas,Percentage,80,0,0,0,0,0,0,0,0,0,0,0,0,
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Develop a contingency plan for nutrition,Number of contingency plans developped,Numbers,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Sensitize parents, students and parents-students associations (PSA) on essential hygiene and nutrition practices",Number of parents and members of the APE/COGES sensitized,Numbers,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Sensitize parents, students and parents-students associations (PSA) on essential hygiene and nutrition practices",Number of students educated,Numbers,48000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Train teachers and monitors on the revised hygiene and nutrition module,Number of men and women monitors trained,Numbers,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Care for MAM cases,Percentage of children admitted and treated for MAM in the CRENAM compared to the plan,Percentage,85,0,1,1,0,1,1,1,1,0,1,1,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Dissemination of KFP messages (nutrition, health, WASH) and other messages on nutrition related outbreak risks (Ebola and cholera) in the",Number of people (men and women) aware of at least two outbreaks risks and prevention means,Numbers,287000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Dissemination of KFP messages (nutrition, health, WASH) and other messages on nutrition related outbreak risks (Ebola and cholera) in the",Number of people (women and men) educated on KFP through messages,Numbers,287000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Ensure the psycho-cognitive stimulation of children with MAS admitted in a CRENI,Number of CRENIs provided with a psycho-cognitive support,Numbers,6,0,0,0,0,0,0,0,0,0,0,0,0,
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Manage SAM cases,"Number of children with SAM, girls and boys ,admitted and treated in CRENIs and CRENAS",Numbers,24098,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise screenings of 6-59 month-old children and FEFAs,"Number of children, girls and boys, aged 6-59 months screened",Numbers,223000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise screenings of 6-59 month-old children and FEFAs,Number of moughattas that organised active screenings in 8 regions,Numbers,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organise screenings of 6-59 month-old children and FEFAs,Number of PLW screened for malnutrition,Numbers,12061,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Promotion of hygiene practices at community level,Number of men and women educated on hygiene at community level,Numbers,91000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide a minimum WASH in Nut package to nutrition centers,Number of nutrition centers with a minimum WASH in Nut package,Numbers,399,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,Nutrition,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provide malnourished mothers and children couples in CRENAs/CRENIs with WASH in Nut Kits,"Number of children with SAM, admitted in CRENAs/CRENIs, provided with WASH in Nut kits",Numbers,16867,0,0,0,0,0,0,0,0,0,0,0,0,0
