Country,Cluster,Objective,Activity,Indicator,Unit,Niger_Target,Agadez_Target,Diffa_Target,Dosso_Target,Maradi_Target,Niamey_Target,Tahoua_Target,Tillabery_Target,Zinder_Target
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Availability of didactic materials for students and teachers,Number of handbooks and textbooks available to students and teachers,Materials,,,3800,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Availability of didactic materials for students and teachers,Percentage of targeted institutions that have received textbooks for students and teachers,Percentage,,,100,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure a secured access to water, hygiene and sanitation in schools","Number of latrines, separated by gender, which are functional in schools targeted by the action",Latrines,,,104,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Ensure a secured access to water, hygiene and sanitation in schools","Percentage of children sent to targeted schools by the action and showing an increase of at least 50 percent of knowledge gained in the topics of water, hygiene and sanitation",Percentage,,,80,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Ensure children’s school feeding,Number of children that received at least a meal a day in schools targeted by the action,Children,,,3000,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of teachers' pedagogical mentoring sessions,Number of pedagogical mentoring sessions organised,Sessions,,,10,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Implementation of teachers' pedagogical mentoring sessions,Number of teachers who received a pedagogical mentoring during the school year,Teachers,,,246,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation of awareness sessions on peace education,Number of awareness sessions on peace education,Sessions,,,30,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation of awareness sessions on peace education,"Number of students (girls and boys) by level, reached on peace education",Children,,,7000,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation the CGDES' training sessions,Number of CGDES members disaggregated by gender whose capacities have been strengthened,People,,,200,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Organisation the CGDES' training sessions,Number of training sessions organised,Sessions,,,26,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Setting-up of school gardens in targeted schools,Number of school gardens set-up,School Gardens,,,25,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support to the alternative education system,Number of second chance schools/professionalising training centers,Schools,,,14,,,,,,
Niger,Education,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support to the alternative education system,"Number of students, disaggregated by gender and age, who are registered in second-chance schools/ gateway schools",Children,,,580,,,,,,
Niger,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Build emergency classrooms,Number of emergency classrooms built in compliance with INEE norms,Classrooms,,,100,,,,,,
Niger,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Organisation of thematic training sessions for teachers (psycho-social, gender, HIV/AIDS, EIE, RRC, curative classes)",Disaggregated number of teachers whose knowledge in transversal topics has increased of at least 75%,Teachers,,,80,,,,,,
Niger,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Organisation of thematic training sessions for teachers (psycho-social, gender, HIV/AIDS, EIE, RRC, curative classes)","Number of training session in psycho-social support, gender, HIV/AIDS, EIE, RRC, curative classes (conduct at least 2 transversal trainings per project)",Sessions,,,12,,,,,,
Niger,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,School kits (primary school) and ECD kits (preschool) made available,Number of ECD kits made available,Kits,,,100,,,,,,
Niger,Education,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,School kits (primary school) and ECD kits (preschool) made available,Number of school kits made available,Kits,,,250,,,,,,
Niger,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Continuously evaluate the coordination of NFIs within different concerned populations (IDPs, returned, foster families and flood victims).",Number of evaluation reports,Evaluations,,,,,,2,,,
Niger,Emergency Shelter and NFI,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Pre-positioning of contingency stocks of emergency shelters and NFI,The number of strategic areas with pre-positioned stocks is known,Areas,,1,1,1,1,1,1,1,1
Niger,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Access to an adequate shelter for targeted beneficiaries,"80% of IDPs (men, women, children) affected by crises have received a shelter in concordance with international norms and standards",People,,200,2000,200,100,100,100,200,100
Niger,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Identifying emergency shelters beneficiaries,80% of women and 20% of men in need have been identified as beneficiaries on the basis of vulnerabilities criteria,People,,200,1736,100,100,150,100,100,100
Niger,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,prospecting the local and sub-region markets to identify local solutions in terms of non-food provisions,Number of local suppliers identified,Service Providers,,,5,,,10,,,
Niger,Emergency Shelter and NFI,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Provision of materials and tools for the rehabilitation or rebuilding of habitats,"Material or tools for the rehabilitation or rebuilding of habitats have been provided to 80% of IDPs (men, women, children) affected by crises",Households,,100,500,200,100,100,100,200,200
Niger,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluate the health sector capacity in the area of disasters risk management (CCA/health),Number of assessments conducted,Assessments,1,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluation and mapping of the vulnerability and risks for the health (VRAM/Health),Number of VRAM/Health conducted,Assessments,1,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Implementing the International Health Regulations (IHR 2005) as well as strenghening the staff health capacity on the IHR,Number of health districts with at least one member trained on the International Health Regulations (IHR 2005),Districts,35,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Provide support to epidemiological surveillance including retraining the staff in SMIR, the supervision of activities and the production of feedback bulletins",The completeness of weekly notifications (in percentage),Numbers,12,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Under the International Health Regulations (IHR 2005), provide support to cross-border surveillance and at checkpoints levels, recurring outbreaks (cholera, lassa, ebola…)",Number of checkpoints equipped with epidemiological and cross-border surveillance,Units,30,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Finalisation and equipment of the Niamey Ebola treatment center (ETC) and the prepositioning of mobile ETCs in 7 regions,,,,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Implementation of a minimum mechanism on sexual and reproductive health in emergency situations (DMU/SR), including HIV, IST and gender-based violence, and on emergency obstetric and neonatal care (SONU) in affected health districts",Number of births attended by a qualified staff in districts supported my cluster members (births),Births,5950,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Personal protection equipment (PPE) and laboratory equipment for the preparedness to MVE,Number of regions with an adequate stock of PPE,Regions,8,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Pre-positioning of Inter-agency kits against diarrheal diseases (IDDK) to health kits inter-agency emergency (IEHK), reproductive health kits and other essential medicines/ essential medical equipment in health districts affected by crises",Number of health districts with IDDK kits,Districts,22,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Strengthened the capacities of CERMES’ laboratory on the diagnosis of viral haemorrhagic fevers,CERMES strengthened,Centers,,,,,,1,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Strengthening of the health system to withstand the negative impacts of different crises (nutritional, outbreaks, floods, movements of populations) and the 'building back better' of affected health facilities",Number of health facilities strengthened,Health Facilities,16,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support mental health and psychosocial management activities of people affected by crises,Number of people cared for,Staff,800,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support the continuity of free care for vulnerable populations, including the strengthening of the Integrated Management of Childhood Illnesses (IMCI) in affected health districts",Number of outpatient consultations in districts supported by cluster members,Consultations,111000,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the implementation of national and regional emergency response team (ERT) for the prepardness to MVE,Number of ERT implemented,Teams,8,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Support the organisation of immunisation campaign in response against measles,Number of children under 5 vaccinated against measles in districts supported by cluster members,Children,123000,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support the prevention and management of malaria in health districts affected by the supply of MIIDA, ACT and TDR as well as the implementation of chemoprevention strategies against seasonal malaria (CSM) in children and of the intermittent preventive treatment (IPT) in pregnant women",Number of health districts with a satisfactory MIILDA coverage,Districts,13,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Support the training of health workers on the management of common health risks, including the correct care of cholera cases, and management of CTC",Number of staff members trained,People,30,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.","Training of health staff on the management of the MVE, on prevention/fight infections in hospitals and on risk-free burials",Number of people trained,Staff,100,,,,,,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Update the national prepardness and reponse to health emergencies (NPRHE) plan,Effective updating of the plan,Actions,,,,,,1,,,
Niger,Health,"STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.",Update the operational plan to combat the Ebola virus disease in Niger,Effective updating of the plan,Actions,,,,,,1,,,
Niger,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Organisation of monthly coordinaion meetings of the Health Cluster,Number of meetings organised,Meetings,12,,,,,,,,
Niger,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Support the setting-up of an Operational Emergency Center (OEC) in the framework of the fight against hemorrhagic fevers (amongst which Ebola) and other health emergencies,Number of OEC set-up,Centers,,,,,,1,,,
Niger,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,"Support the setting-up, at the Ministry of Health, of a unity in charge of the coordination of the disaster risk management for the health sector",Number of units set-up,Units,,,,,,1,,,
Niger,Health,STRATEGIC OBJECTIVE 3: Deliver coordinated and integrated life-saving assistance to people affected by emergencies.,Training of co-facilitator DRSPs and NGOs for the coordination of emergency health interventions,Number of people trained,People,24,,,,,,,,
Niger,Nutrition,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Establish a mapping of nutrition partners and of a data sharing system,"Nutrition atlas, incluant the gender element and retracing malnutrition prevalences, the availability of services and coverage by district",Yes/No,,1,1,1,1,1,1,1,1
