Country,Cluster,Objective,Activity,Indicator,Unit,Nigeria_Target,Adamawa_Target,Bauchi_Target,Borno_Target,Gombe_Target,Kaduna_Target,Kano_Target,Nasarawa_Target,Plateau_Target,Rivers_Target,Taraba_Target,Yobe_Target,Zamfara_Target
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Actively involve communities in the risks and vulnerabilities analysis.,Number of consultations held,Consultations,100,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Advocate the Safe Schools Initiative by: developing state-level coalitions to support and monitor access of IDP Learners to educational opportunities,Percentage of partners aware of SSI.,Percentage,100,0,,0,,,,,,,,0,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Carry out risk and conflict analyses of the education system.,,,,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Conduct needs assessments in affected areas,Number of assessments conducted in affected areas,Assessments,2,0,,0,,,,,,,,0,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop school contingency plans including Early Warning system by establishing community networks,Number of community networks established,Commitees,54,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Develop school contingency plans including Early Warning system by establishing community networks,Number of schools with CP,Schools,54,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Education advocacy visits to influential persons and key stakeholder meetings,Number of advocacy visits made,Visits,5,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Education advocacy visits to influential persons and key stakeholder meetings,Number of stakeholder meetings attended,Meetings,22,3,5,5,,2,,2,2,,,3,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Evaluate the impact of conflict on boys’ and girls’ education.,"Drop-out rates disaggregated by gender before, during and after food insecure period",Evaluations,2,,,,,,,,,,,,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.",Identify schools located in areas at risk,Number of mapping exercises conducted,Maps,4,1,,1,,,,,1,,,1,
Nigeria,Education,"STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.","Monitor attacks on education facilities, personnel and students",Number of school/learning spaces occupied or attacked mapped.,Schools,200,,,,,,,,,,,,
