Country;Cluster;Objective;Activity;Indicator;Unit;Senegal_Target;Dakar_Target;Diourbel_Target;Fatick_Target;Kaffrine_Target;Kaolack_Target;Kédougou_Target;Kolda_Target;Louga_Target;Matam_Target;Saint Louis_Target;Sédhiou_Target;Tambacounda_Target;Thiès_Target;Ziguinchor_Target
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Advocacy related to the vulnerability analysis of elements which need support;Number of joint advocacy actions linked to the vulnerability analysis;Advocacy actions;;;;;;;;;2;2;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Analyse the capacity to repond to outbreaks;Number of contingency plans with an analysis of the local and national reponse capacity to outbreaks;Contingency Plans;;1;;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Conduct evaluation of the reponse capacity in the health sector;Number of evalutation reports on the the reponse capacity in the health sector, taking into account the age, gender and disabilities;Reports;;1;;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Conduct joint multi-sectoral analyses of vulnerabilities and risks;Number of multi-sectoral meetings;Meetings;;2;;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Conduct joint multi-sectoral analyses of vulnerabilities and risks;Number of multi-sectoral analysis reports;Reports;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Map and analysis of risks in the health sector;Number of maps made;Maps;;1;1;;;;1;1;;1;;1;1;;
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Monitoring of widely disseminated data, assessments and evaluations;Number of reports/events where the analysis of under nutrition is widely disseminated;Reports;;1;1;1;1;1;1;1;1;1;;1;1;;1
Senegal;Health;STRATEGIC OBJECTIVE 1: Track and analyse risk and vulnerability, integrating findings into humanitarian and development programming.;Strengthen the coordination framework between humanitarian and development actors, including data sharing;Number of coordination meetings;Meetings;;2;;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Analyse the response to outbreaks capacities;Number of contingency plans that include the analysis of the local and national capacity to respond to outbreaks;Contingency Plans;;;1;;;;;;;;;;;;
Senegal;Health;STRATEGIC OBJECTIVE 2: Support vulnerable populations to better cope with shocks by responding earlier to warning signals, by reducing post-crisis recovery times and by building capacity of national actors.;Elaborate the contingency plan;Number of existing contingency plans with a health component;Contingency Plans;;1;0;0;0;0;0;0;0;0;0;0;0;0;0
